1	3	3	3	CD	CD	_	_	3	3	NMOD	NMOD	_	_	A1
2	billy	billy	billy	NN	NN	_	_	3	3	NMOD	NMOD	_	_	A1
3	goat	goat	goat	NN	NN	_	_	5	5	SBJ	SBJ	_	_	_
4	,	,	,	,	,	_	_	3	3	P	P	_	_	_
5	slaughtered	slaughter	slaughter	VBN	VBN	_	_	0	0	ROOT	ROOT	Y	slaughter.01	_
6	,	,	,	,	,	_	_	5	5	P	P	_	_	_


1	from	from	from	IN	IN	_	_	0	0	ROOT	ROOT	_	_
2	Kugani	kugani	kugani	NNP	NNP	_	_	1	1	PMOD	PMOD	_	_


1	under	under	under	IN	IN	_	_	0	0	ROOT	ROOT	_	_	_
2	seal	seal	seal	NN	NN	_	_	1	1	PMOD	PMOD	Y	seal.01	_
3	of	of	of	IN	IN	_	_	2	2	NMOD	NMOD	_	_	A1
4	Lukalla	lukalla	lukalla	NNP	NNP	_	_	3	3	PMOD	PMOD	_	_	_
5	;	;	;	:	:	_	_	1	1	P	P	_	_	_


1	month	month	month	NN	NN	_	_	0	0	ROOT	ROOT	_	_	_
2	:	:	:	:	:	_	_	1	1	P	P	_	_	_
3	“	“	“	IN	IN	_	_	1	1	NMOD	NMOD	_	_	_
4	Festival	festival	festival	NNP	NNP	_	_	3	3	PMOD	PMOD	Y	festival.01	_
5	of	of	of	IN	IN	_	_	4	4	NMOD	NMOD	_	_	A1
6	Amar-Suen	amar-suen	amar-suen	NNP	NNP	_	_	5	5	PMOD	PMOD	_	_	_
7	,	,	,	,	,	_	_	1	1	P	P	_	_	_
8	”	”	”	''	''	_	_	1	1	P	P	_	_	_


1	year	year	year	NN	NN	_	_	4	4	NAME	NAME	_	_	A1
2	:	:	:	:	:	_	_	4	4	NAME	NAME	_	_	A1
3	“	“	“	PRP	PRP	_	_	4	4	NAME	NAME	_	_	A1
4	Ḫuḫnuri	ḫuḫnuri	ḫuḫnuri	NNP	NNP	_	_	5	5	SBJ	SBJ	_	_	_
5	was	be	be	VBD	VBD	_	_	0	0	ROOT	ROOT	_	_	_
6	destroyed	destroy	destroy	VBN	VBN	_	_	5	5	VC	VC	Y	destroy.01	_
7	.	.	.	.	.	_	_	5	5	P	P	_	_	_
8	”	”	”	''	''	_	_	5	5	P	P	_	_	_


1	Lukalla	lukalla	lukalla	NNP	NNP	_	_	0	0	ROOT	ROOT	_	_
2	,	,	,	,	,	_	_	1	1	P	P	_	_


1	scribe	scribe	scribe	NN	NN	_	_	0	0	ROOT	ROOT	_	_
2	,	,	,	,	,	_	_	1	1	P	P	_	_


1	son	son	son	NN	NN	_	_	0	0	ROOT	ROOT	Y	son.01	A0
2	of	of	of	IN	IN	_	_	1	1	NMOD	NMOD	_	_	A1
3	Ur-e	ur-e	ur-e	NNP	NNP	_	_	4	4	NAME	NAME	_	_	_
4	’	’	’	NNP	NNP	_	_	2	2	PMOD	PMOD	_	_	_
5	e	e	e	,	,	_	_	1	1	P	P	_	_	_


1	3	3	3	CD	CD	_	_	2	2	NMOD	NMOD	_	_
2	lambs	lamb	lamb	NNS	NNS	_	_	0	0	ROOT	ROOT	_	_


1	4	4	4	CD	CD	_	_	2	2	NMOD	NMOD	_	_
2	day	day	day	NN	NN	_	_	0	0	ROOT	ROOT	_	_
3	,	,	,	,	,	_	_	2	2	P	P	_	_


1	from	from	from	IN	IN	_	_	0	0	ROOT	ROOT	_	_
2	Abbasaga	abbasaga	abbasaga	NNP	NNP	_	_	1	1	PMOD	PMOD	_	_
3	,	,	,	,	,	_	_	1	1	P	P	_	_


1	Inta	inta	inta	NNP	NNP	_	_	2	2	NAME	NAME	_	_	A0
2	’	’	’	NNP	NNP	_	_	4	4	NMOD	NMOD	_	_	_
3	e	e	e	POS	POS	_	_	2	2	SUFFIX	SUFFIX	_	_	_
4	’	’	’	NNP	NNP	_	_	5	5	NMOD	NMOD	Y	’.01	_
5	a	a	a	DT	DT	_	_	0	0	ROOT	ROOT	_	_	_


1	accepted	accept	accept	VBN	VBN	_	_	0	0	ROOT	ROOT	Y	accept.01	_
2	;	;	;	:	:	_	_	1	1	P	P	_	_	_


1	month	month	month	NN	NN	_	_	0	0	ROOT	ROOT	_	_	_
2	:	:	:	:	:	_	_	1	1	P	P	_	_	_
3	“	“	“	NN	NN	_	_	4	4	NMOD	NMOD	_	_	_
4	ki-siki	ki-siki	ki-siki	NN	NN	_	_	1	1	APPO	APPO	Y	ki-siki.01	_
5	of	of	of	IN	IN	_	_	4	4	NMOD	NMOD	_	_	A1
